x_value,sender_rssi
7,-65
8,-68
9,-64
10,-64
11,-64
12,-64
13,-64
14,-64
15,-64
16,-64
17,-64
18,-64
19,-62
20,-64
21,-65
22,-64
23,-63
24,-64
25,-64
26,-63
27,-64
28,-64
29,-64
30,-64
31,-64
32,-64
33,-63
34,-66
35,-63
36,-63
37,-64
38,-63
39,-65
40,-64
41,-63
42,-64
43,-64
44,-62
45,-64
46,-64
47,-64
48,-64
49,-63
52,-64
53,-64
54,-63
55,-65
56,-64
57,-64
58,-66
59,-64
60,-64
61,-64
62,-64
63,-63
66,-64
67,-64
68,-63
69,-63
70,-64
72,-66
73,-62
74,-62
75,-63
76,-64
77,-63
78,-63
79,-64
80,-65
83,-62
84,-64
85,-64
86,-63
87,-64
88,-63
89,-63
90,-64
91,-64
92,-64
93,-64
94,-64
96,-64
98,-63
99,-62
100,-62
101,-62
102,-62
103,-63
104,-62
105,-62
106,-62
107,-62
108,-62
109,-62
110,-61
111,-62
112,-62
113,-61
114,-62
115,-62
116,-63
117,-62
118,-61
119,-62
120,-62
121,-62
122,-62
123,-62
124,-62
125,-62
126,-65
127,-62
128,-62
129,-62
130,-62
131,-63
132,-61
133,-64
134,-62
135,-64
136,-62
137,-63
138,-62
139,-62
140,-65
141,-63
142,-62
143,-62
144,-62
145,-62
146,-62
147,-62
148,-62
149,-62
150,-62
151,-62
152,-61
153,-61
154,-62
155,-62
156,-62
157,-63
158,-61
159,-62
160,-61
161,-62
162,-61
163,-62
164,-62
165,-62
166,-61
167,-61
168,-62
169,-61
170,-62
171,-62
172,-61
173,-62
174,-61
